source_serial,institute_code,institution_label,source_name_address_excerpt,state_ut,source_page,source_y_top_pt,listing_scope
109,GJ001,B.M. Institute of Mental Health,"B.M. Institute of Mental Health, | Near Nehru Bridge, Ashram Road, District – | Ahmedabad, Gujarat – 380009",Gujarat,13,544.19,listed_in_2026-02-04_register; current_activity_not_assessed
110,GJ003,Sh. Shah K.L. Institute for the Deaf,"Sh. Shah K.L. Institute for the Deaf, | 51, Vidyanagar, Bhavnagar, Gujarat – 364002",Gujarat,13,624.11,listed_in_2026-02-04_register; current_activity_not_assessed
111,GJ005,Training College for Teachers of the Deaf & Blind,"Training College for Teachers of the Deaf & Blind, | Navrangpura, Ashram Road, | Ahmedabad, Gujarat – 380 009",Gujarat,13,739.55,listed_in_2026-02-04_register; current_activity_not_assessed
112,GJ006,"Akshar Trust, 11th Floor","Akshar Trust, | 11th Floor, Kirti Tower, Next to Kirti Mandir, Tilak Road, | Vadodra, Gujarat – 01",Gujarat,14,134.51,listed_in_2026-02-04_register; current_activity_not_assessed
113,GJ007,Gujarat Kelvani Trust,"Gujarat Kelvani Trust, | Mangal Prabhat Building, Opp. St. Xavier High School, | Mirzapur,Ahmedabad, Gujarat",Gujarat,14,205.55,listed_in_2026-02-04_register; current_activity_not_assessed
114,GJ010,‘Ankur’ Special School for Mentally Retarded,"‘Ankur’ Special School for Mentally Retarded, | Plot No. 1945, Near Working Women’s Hostel, Sardarnagar | Circle, Bhavnagar, Gujarat",Gujarat,14,265.67,listed_in_2026-02-04_register; current_activity_not_assessed
115,GJ011,Blind Welfare Council,"Blind Welfare Council, | Mandav Road, Opp. Panchmukhi Hanuman Temple, Dahod, | Gujarat – 389151",Gujarat,14,326.27,listed_in_2026-02-04_register; current_activity_not_assessed
116,GJ012,Smt. P N R S (Talajwala) Society for Relief & Rehabilitation of the Disabled,"Smt. P N R S (Talajwala) Society for Relief & | Rehabilitation of the Disabled, | 51, Vidyanagar, Bhavnagar, Gujarat-364 002",Gujarat,14,375.95,listed_in_2026-02-04_register; current_activity_not_assessed
117,GJ015,Govt. Prosthetic & Orthotic College,"Govt. Prosthetic & Orthotic College, | Paraplegia Hospital & Physiotherapy College Civil Hospital | Campus, Ahemdabad, Gujarat– 380016",Gujarat,14,500.27,listed_in_2026-02-04_register; current_activity_not_assessed
118,GJ016,C.U. Shah Medical College,"C.U. Shah Medical College, | Dhudrej Road, Surendernagar, Gujarat – 363001",Gujarat,14,567.59,listed_in_2026-02-04_register; current_activity_not_assessed
119,GJ019,Sh. P K Mehta College for the Special Education,"Sh. P K Mehta College for the Special Education, | Vidya Mandir Trust, Mamta Mandir Campus, | Dairy Road, Palanpur, Dist. Banaskantha, Gujarat – 385001",Gujarat,14,644.51,listed_in_2026-02-04_register; current_activity_not_assessed
120,GJ020,School of Behavioural Sciences,"School of Behavioural Sciences, | Gujarat Forensic Sciences University 18/A, B/H Police | Bhawan, Gandhinagar, Gujarat – 382007",Gujarat,15,116.75,listed_in_2026-02-04_register; current_activity_not_assessed
121,GJ021,Composite Regional Centre for Persons with Disabilities,"Composite Regional Centre for Persons with Disabilities, | Bhikshuk Gurh Parisar, GIDC, Odhav, Ahemdabad, Gujarat – | 382415",Gujarat,15,174.83,listed_in_2026-02-04_register; current_activity_not_assessed
122,GJ022,Sardar Patel University,"Sardar Patel University, | University Road, Vallabh Vidyanagar, District Anand – | 388120, Gujarat",Gujarat,15,257.51,listed_in_2026-02-04_register; current_activity_not_assessed
123,GJ024,Sumandeep Vidyapeeth Deemed to be University,"Sumandeep Vidyapeeth Deemed to be University, | AT & PO-Pipariya, waghodia, vadodra,-391760, Gujarat",Gujarat,15,341.15,listed_in_2026-02-04_register; current_activity_not_assessed
124,GJ025,Indian Institute of Teacher Education Centre of Education,"Indian Institute of Teacher Education Centre of | Education, Ramkrushna paramhans vidya sakul, Sector-15, | Near Mahatma Mandir, Gandhinagar | Gujarat-382016",Gujarat,15,403.31,listed_in_2026-02-04_register; current_activity_not_assessed
125,GJ026,Gujarat Medical Education and Research Society,"Gujarat Medical Education and Research Society, | Medical College and Hospital, | Near Gujarat High Court on SG Highway, Sola, District- | Ahmedabad, Gujarat-380060",Gujarat,15,439.91,listed_in_2026-02-04_register; current_activity_not_assessed
126,GJ027,Rashtriya Raksha University At Lavad,"Rashtriya Raksha University | At Lavad, Ta. Dahegam, Distt- Gandhinagar Gujarat-382305",Gujarat,15,483.35,listed_in_2026-02-04_register; current_activity_not_assessed
127,GJ028,Government Spine Institute,"Government Spine Institute, Department of Audiology & | Speech Language Pathology 4th Floor, Near Cancer | Research Civil Medicity Campus Asarwa, Shahibaug, | Ahmedabad, Gujarat-380016",Gujarat,15,528.35,listed_in_2026-02-04_register; current_activity_not_assessed
128,HR001,"ARPAN, Institute for the Mentally Handicapped","ARPAN, Institute for the Mentally Handicapped, Gandhi | Nagar, Rohtak, Haryana – 124001",Haryana,15,592.79,listed_in_2026-02-04_register; current_activity_not_assessed
129,HR002,"Department of Special Education, Kurukshetra University","Department of Special Education, | Kurukshetra University, Kurukshetra, Haryana – | 136119",Haryana,15,708.23,listed_in_2026-02-04_register; current_activity_not_assessed
130,HR003,Shravan Institute of Special Education & Research,"Shravan Institute of Special Education & Research , | Gandhi Nagar, Near Mahila Ashram, District - Rohtak, | Haryana",Haryana,16,91.19,listed_in_2026-02-04_register; current_activity_not_assessed
131,HR006,Society for Advanced Study in Rehabilitation,"Society for Advanced Study in Rehabilitation, Branch of:- | Integrated Institute for the Disabled, Shiv Apartment –II, A- | Block | Dayal Bagh, P.O. Surajkund, Faridabad, Haryana – 121009",Haryana,16,149.27,listed_in_2026-02-04_register; current_activity_not_assessed
132,HR007,State Institute for Rehabilitation Training & Research (SIRTAR),"State Institute for Rehabilitation Training & Research | (SIRTAR), | (Department of Social Justice & Empowerment, Govt. of | Haryana), Gandhi Nagar, Rohtak, Haryana – 124001",Haryana,16,421.07,listed_in_2026-02-04_register; current_activity_not_assessed
133,HR008,Haryana College of Special Education & Rehabilitation,"Haryana College of Special Education & Rehabilitation, | R. K. Smriti Bhawan, H. No. D-II/121, Shiv Durga Vihar, | Opposite C-10 Dayal Bagh, Post Office: NHPC Colony | (121010), District Faridabad, Haryana – 121010",Haryana,16,658.79,listed_in_2026-02-04_register; current_activity_not_assessed
134,HR009,Vision institute for Applied Studies,"Vision institute for Applied Studies, | Plot No.: 40, | Sector – 20 B, H.U.D.A. | Near Traffic Training Park, Faridabad, Haryana",Haryana,17,152.27,listed_in_2026-02-04_register; current_activity_not_assessed
135,HR012,Adarsh Rehabilitation Centre for Mentally and Physically Handicapped children,"Adarsh Rehabilitation Centre for Mentally and Physically | Handicapped children, | Uttam Nagar, Loharu Road , Near Tractor Agencies, Bhiwani | Haryana – 127021",Haryana,17,652.31,listed_in_2026-02-04_register; current_activity_not_assessed
136,HR013,Jan Nayak Ch. Devi Lal (PG) College of Education,"Jan Nayak Ch. Devi Lal (PG) College of Education, Post | Box No. 81, Barnala Road, Sirsa, Haryana – 125055",Haryana,18,250.43,listed_in_2026-02-04_register; current_activity_not_assessed
137,HR014,ST. PAUL COLLEGE OF EDUCATION,"ST. PAUL COLLEGE OF EDUCATION, | ROHTAK BEHIND NEW BUS STAND,ROHTAK",Haryana,18,333.59,listed_in_2026-02-04_register; current_activity_not_assessed
138,HR015,MR DAV College of Education,"MR DAV College of Education, | 5th K.M. Stone, Sonepat Road, Rohtak, Haryana –",Haryana,18,475.67,listed_in_2026-02-04_register; current_activity_not_assessed
139,HR016,Tapan Rehabilitation Society,"Tapan Rehabilitation Society, Karnal, Pragya Institute for | Education Training and Rehabilitation of Differently | Abled, Near Police Post, G.T. Road, Nilokhari, District- | Karnal, Haryana - 132117",Haryana,18,615.71,listed_in_2026-02-04_register; current_activity_not_assessed
140,HR017,Red Cross Institute for Education & Rehabilitation of Mentally Challenged Children,"Red Cross Institute for Education & Rehabilitation of | Mentally Challenged Children, New Court Road, Red | Cross Bhawan, Sonepat, Haryana-131001",Haryana,18,718.19,listed_in_2026-02-04_register; current_activity_not_assessed
141,HR018,Amity University Haryana,"Amity University Haryana, | Department of Audiology & Speech Language Pathology, | Amity Education Valley Distt. Gurgaon (Manesar) , Haryana – | 122413",Haryana,19,198.35,listed_in_2026-02-04_register; current_activity_not_assessed
142,HR019,Shivom Rehabilitation Centre (SRC),"Shivom Rehabilitation Centre (SRC), | Kalanaur Road, Nigana, Rohtak, Haryana -124113",Haryana,19,370.79,listed_in_2026-02-04_register; current_activity_not_assessed
143,HR020,R.P. Institute of Speech & Audiology,"R.P. Institute of Speech & Audiology, | NH-1 P.O. Box No. 05, Post – Gharaunda, Karnal, Haryana – | 132114",Haryana,19,457.55,listed_in_2026-02-04_register; current_activity_not_assessed
144,HR021,Jind Central Jaycees Education and Charitable Society,"Jind Central Jaycees Education and Charitable Society, | Jind D-Block, Urban Estate, Jind, Haryana – 126102 /",Haryana,19,530.27,listed_in_2026-02-04_register; current_activity_not_assessed
145,HR022,Shri Sachha Special Education for the Deaf,"Shri Sachha Special Education for the Deaf, 281, Defence | Sainik Nagar Colony, Bahadurgarh, District – Jhajjar, Haryana | – 124507",Haryana,19,583.55,listed_in_2026-02-04_register; current_activity_not_assessed
146,HR023,Misri Devi Rehabilitation Centre,"Misri Devi Rehabilitation Centre, | 1/441, Gali No.9, Line Par, Vikas Nagar, Bahadurgarh, District | – Jhajjar, Haryana – 124507",Haryana,19,635.39,listed_in_2026-02-04_register; current_activity_not_assessed
147,HR024,Amar Jyoti Foundation,"Amar Jyoti Foundation, | Village – Quilazafargarh, Near State Bank of Patiala, Tehsil, – | Julana, Dist.-Jind, Haryana –",Haryana,19,788.03,listed_in_2026-02-04_register; current_activity_not_assessed
148,HR026,SSM Instiutute of Rehabilitation Training and Research for Inclusive Education (Divyangjan),"SSM Instiutute of Rehabilitation Training and Research | for Inclusive Education (Divyangjan), (Earlier known as | Maa Sharda Institute for Rehabilitation Training & | Research) | Village – Hasanpur, Post office Koriwas Narnaul, District – | Mahendergarh, Haryana",Haryana,20,141.35,listed_in_2026-02-04_register; current_activity_not_assessed
149,HR027,Institute for Advanced Research and Social Action,"Institute for Advanced Research and Social Action, 40, | Futa Road, Gali No.-07, Near Jaat College, Kalyan Nagar, | Kurukshetra, Haryana – 136118 /",Haryana,20,212.51,listed_in_2026-02-04_register; current_activity_not_assessed
150,HR028,K.V.M. College of Special Education,"K.V.M. College of Special Education, Ladhot Road, Behind | New Bus Stand Rohtak, Haryana – 124001",Haryana,20,259.67,listed_in_2026-02-04_register; current_activity_not_assessed
151,HR029,RENU VIDYA MANDIR (An Institute of Special Education Vocational Rehabilitation Training and Research),"RENU VIDYA MANDIR | (An Institute of Special Education Vocational Rehabilitation | Training and Research), Khewra, Meerut Road, Bahalgarh, | Sonipat, Haryana – 131001 .",Haryana,20,321.83,listed_in_2026-02-04_register; current_activity_not_assessed
152,HR030,S.M. Rehabilitation & Research Centre,"S.M. Rehabilitation & Research Centre, | Narnaul, C/o. Santosh Memorial, Education & Welfare Society | (Regd.), Plot No.2, Part 2, Sector 1, Urban Estate, Tehsil – | Narnaul, District – Mahendragarh, Haryana",Haryana,20,444.11,listed_in_2026-02-04_register; current_activity_not_assessed
153,HR034,Samarth Institute of Inclusive Education House No. 223/4 Subhash Nagar Street No.-3 Bahadurgarh-124507 Haryana,Samarth Institute of Inclusive Education House | No. 223/4 Subhash Nagar Street No.-3 | Bahadurgarh-124507 Haryana,Haryana,20,693.95,listed_in_2026-02-04_register; current_activity_not_assessed
154,HR036,TEERTHANKER K.R.D. COLLEGE PLOT NO 35,"TEERTHANKER K.R.D. COLLEGE | PLOT NO 35, VILLAGE + TOWN JATAULI POST HAILY | MANDI, TEHSIL PATAUDI, DISTRICT GURGAON | (HARYANA) PIN CODE 122504",Haryana,20,733.31,listed_in_2026-02-04_register; current_activity_not_assessed
155,HR038,JBDM College of Special Education (Run by JBDM Educational and Social Welfare Society) VPO Saral Distt Bhiwani,"JBDM College of Special Education | (Run by JBDM Educational and Social Welfare Society) | VPO Saral Distt Bhiwani, Haryana-127040",Haryana,21,107.87,listed_in_2026-02-04_register; current_activity_not_assessed
156,HR039,Adarsh Rehabilitation Institute of Vocational Training Rohtak Road,"Adarsh Rehabilitation Institute of Vocational Training | Rohtak Road, Kalupur Chingi, Sonipat- 131001 Haryana",Haryana,21,174.83,listed_in_2026-02-04_register; current_activity_not_assessed
157,HR040,SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY CHANDU-BUDHERA GURGAON- BADLI ROAD GURGAON-122505,SHREE GURU GOBIND SINGH TRICENTENARY | UNIVERSITY CHANDU-BUDHERA GURGAON- BADLI | ROAD GURGAON-122505,Haryana,21,211.91,listed_in_2026-02-04_register; current_activity_not_assessed
158,HR041,Green Valley Institute of Spl.Edu. & Rehabilitation Centre,"Green Valley Institute of Spl.Edu. & Rehabilitation Centre, | Mandir Wali Gali, Patel Nagar, Sonepat, Haryana",Haryana,21,473.15,listed_in_2026-02-04_register; current_activity_not_assessed
159,HR042,Aadhar College of Special Education VPO-Agroha,"Aadhar College of Special Education VPO-Agroha, Dist- | Hisar, Haryana",Haryana,21,517.55,listed_in_2026-02-04_register; current_activity_not_assessed
160,HR043,ST. Teresa Inclusive School ITI Chowk Rathdhana Road Sonipat,"ST. Teresa Inclusive School | ITI Chowk Rathdhana Road Sonipat, Haryana",Haryana,21,553.07,listed_in_2026-02-04_register; current_activity_not_assessed
161,HR044,Ideal College of Special Education Village Mahlana,"Ideal College of Special Education | Village Mahlana, Dist- Sonepat Haryana-131001",Haryana,21,597.47,listed_in_2026-02-04_register; current_activity_not_assessed
162,HR045,J. M. Rehabilitation and Research Centre Near Adarsh Vidya Mandir Nangal Barrier Ateli Mandi,"J. M. Rehabilitation and Research Centre | Near Adarsh Vidya Mandir Nangal Barrier Ateli Mandi, Dist- | Mahendergarh, Haryana-123021",Haryana,21,687.95,listed_in_2026-02-04_register; current_activity_not_assessed
163,HR046,Geetanjali College for Special Education,"Geetanjali College for Special Education, | Village & Post- Office-Barwansi Hulleri Modgohana Road, | Sonepat – Dist, Haryana-131001",Haryana,22,81.23,listed_in_2026-02-04_register; current_activity_not_assessed
164,HR047,Armaan Teacher Training Institute,"Armaan Teacher Training Institute, 955, Sector-16, Old SP | Road, Faridabad, Haryana-121002",Haryana,22,116.27,listed_in_2026-02-04_register; current_activity_not_assessed
165,HR048,Faculty of Education,"Faculty of Education, Manav Rachna University Sector-43, | Aravalli Hills, Delhi-Surajkund Road, Faridabad, Haryana – | 121004",Haryana,22,160.67,listed_in_2026-02-04_register; current_activity_not_assessed
166,HR049,Master Khub Ram College,"Master Khub Ram College, Mahchana Road, Haily Mandi, | Teh, Pataudi, Distt- Gurgaon, Haryana",Haryana,22,201.95,listed_in_2026-02-04_register; current_activity_not_assessed
167,HR050,Haryana Welfare Society for Persons With Speech & Hearing Impairment,"Haryana Welfare Society for Persons With Speech & | Hearing Impairment, | Opposite House No. 275, Sector -16, Punchkula, Haryana",Haryana,22,246.35,listed_in_2026-02-04_register; current_activity_not_assessed
168,HR051,M M Institute of Medical Science and Research,"M M Institute of Medical Science and Research, Maharishi | Markandeshwar University, Mullana Ambala, Haryana- | 133207",Haryana,22,290.75,listed_in_2026-02-04_register; current_activity_not_assessed
169,HR052,R K College of Education (Rehabilitation) 21st K M Stone,"R K College of Education (Rehabilitation) | 21st K M Stone, Sonipat Road, Humayunpur, Rohtak, Haryana",Haryana,22,343.07,listed_in_2026-02-04_register; current_activity_not_assessed
170,HR053,Central University of Haryana,"Central University of Haryana, Department of | Psychology, | VPO – Jan – Pali , District – Mahendergarh, Haryana-123031",Haryana,22,389.03,listed_in_2026-02-04_register; current_activity_not_assessed
